City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Margate,GB,2022-11-30 04:15:10,51.3813,1.3862,44.91,95,38,1.01
164,Falam,MM,2022-11-30 04:15:11,22.9167,93.6833,69.44,69,46,2.68
165,Avarua,CK,2022-11-30 04:15:11,-21.2078,-159.775,78.85,78,40,12.66
166,Malangwa,NP,2022-11-30 04:15:11,26.8568,85.5581,74.23,52,58,2.62
167,Zhuhai,CN,2022-11-30 04:11:02,22.2769,113.5678,74.98,83,40,16.11
168,Vila Franca Do Campo,PT,2022-11-30 04:15:12,37.7167,-25.4333,63.19,85,97,4.16
169,Nosivka,UA,2022-11-30 04:15:12,50.9315,31.5828,30.07,71,100,9.13
170,Beboto,TD,2022-11-30 04:15:12,8.2668,16.939,66.83,34,100,4.68
171,Bilma,NE,2022-11-30 04:15:13,18.6853,12.9164,59.94,45,1,8.21
172,Saryozek,KZ,2022-11-30 04:15:13,44.3583,77.9753,31.77,70,100,6.11
173,Tuktoyaktuk,CA,2022-11-30 04:15:13,69.4541,-133.0374,-4.0,77,75,8.05
174,Cherskiy,RU,2022-11-30 04:15:14,68.75,161.3,-17.09,98,99,4.63
175,Banda Aceh,ID,2022-11-30 04:15:14,5.5577,95.3222,84.58,64,100,1.97
176,Tucuma,BR,2022-11-30 04:15:15,-0.1833,-50.05,76.68,86,100,3.53
177,Acarau,BR,2022-11-30 04:15:15,-2.8856,-40.12,76.48,83,100,3.89
178,Pangnirtung,CA,2022-11-30 04:15:15,66.1451,-65.7125,-17.7,98,99,3.09
179,Souillac,MU,2022-11-30 04:16:15,-20.5167,57.5167,79.18,65,40,4.61
180,Jalu,LY,2022-11-30 04:16:16,29.0331,21.5482,56.68,55,0,9.06
181,Rurrenabaque,BO,2022-11-30 04:16:16,-14.4413,-67.5278,73.0,81,83,3.42
182,Nouadhibou,MR,2022-11-30 04:16:17,20.931,-17.0347,67.82,48,0,12.95
183,Muros,ES,2022-11-30 04:16:17,42.7762,-9.0603,54.09,89,100,18.37
184,Ukiah,US,2022-11-30 04:16:18,39.1502,-123.2078,41.63,77,0,1.01
185,Chuguyevka,RU,2022-11-30 04:16:18,44.1653,133.8633,5.63,69,89,13.89
186,Sept-Iles,CA,2022-11-30 04:16:18,50.2001,-66.3821,14.0,71,0,6.91
187,Kaitangata,NZ,2022-11-30 04:16:19,-46.2817,169.8464,59.02,66,97,13.53
188,Yakima,US,2022-11-30 04:16:19,46.4665,-120.6678,24.73,87,100,1.99
189,Stornoway,GB,2022-11-30 04:16:19,58.2093,-6.3865,49.96,80,99,12.66
190,Saint-Philippe,RE,2022-11-30 04:13:19,-21.3585,55.7679,80.19,77,40,7.2
191,Cidreira,BR,2022-11-30 04:16:20,-30.1811,-50.2056,70.38,91,52,16.11
192,Severo-Kurilsk,RU,2022-11-30 04:13:03,50.6789,156.125,37.74,98,100,8.75
193,Portland,US,2022-11-30 04:15:00,45.5234,-122.6762,45.21,91,100,15.01
194,Hofn,IS,2022-11-30 04:16:20,64.2539,-15.2082,45.27,95,100,14.97
195,Hibbing,US,2022-11-30 04:16:20,47.4272,-92.9377,18.75,73,100,8.05
196,Axim,GH,2022-11-30 04:16:21,4.8699,-2.2405,77.0,86,78,2.57
197,Surt,LY,2022-11-30 04:16:21,31.2089,16.5887,59.95,64,2,16.06
198,Nalut,LY,2022-11-30 04:16:21,30.3333,10.85,46.08,71,0,8.63
199,Veraval,IN,2022-11-30 04:16:22,20.9,70.3667,78.04,37,4,11.41
200,Dongning,CN,2022-11-30 04:16:22,44.0622,131.1207,7.56,45,34,18.59
201,Huangchuan,CN,2022-11-30 04:16:22,32.1272,115.0394,34.81,30,96,15.43
202,Caraguatay,AR,2022-11-30 04:16:23,-26.6059,-54.7809,67.82,85,38,1.68
203,Barra Do Garcas,BR,2022-11-30 04:16:23,-15.89,-52.2567,76.03,61,83,5.06
204,Nabire,ID,2022-11-30 04:16:23,-3.3667,135.4833,85.21,71,74,5.19
205,Natal,BR,2022-11-30 04:13:16,-5.795,-35.2094,79.45,78,20,3.44
206,Maldonado,UY,2022-11-30 04:14:26,-34.6667,-54.9167,69.19,92,5,8.97
207,Sioux Lookout,CA,2022-11-30 04:16:24,50.1001,-91.917,19.47,79,100,8.05
208,Grand Gaube,MU,2022-11-30 04:16:24,-20.0064,57.6608,79.38,62,100,8.99
209,Chokurdakh,RU,2022-11-30 04:16:24,70.6333,147.9167,-9.09,99,100,6.89
210,Tabas,IR,2022-11-30 04:16:24,33.5959,56.9244,57.72,35,98,0.58
211,Trincomalee,LK,2022-11-30 04:16:25,8.5711,81.2335,80.13,69,94,5.32
212,Santa Clarita,US,2022-11-30 04:16:09,34.3917,-118.5426,55.22,71,0,1.01
213,Bathsheba,BB,2022-11-30 04:16:25,13.2167,-59.5167,79.41,73,40,16.11
214,Inverell,AU,2022-11-30 04:16:26,-29.7833,151.1167,73.67,59,100,7.0
215,Fortuna,US,2022-11-30 04:16:26,40.5982,-124.1573,43.14,92,0,5.75
216,Klaksvik,FO,2022-11-30 04:16:26,62.2266,-6.589,47.32,87,100,17.0
217,Carahue,CL,2022-11-30 04:16:27,-38.7,-73.1667,48.31,85,69,5.61
218,Mikkeli,FI,2022-11-30 04:16:27,61.6886,27.2723,28.51,93,100,3.44
219,Balkanabat,TM,2022-11-30 04:16:27,39.5108,54.3671,51.51,72,95,1.99
220,Clyde River,CA,2022-11-30 04:16:28,70.4692,-68.5914,-21.77,69,0,5.75
221,Amarwara,IN,2022-11-30 04:16:28,22.3,79.1667,67.53,37,99,4.34
222,Severo-Yeniseyskiy,RU,2022-11-30 04:16:28,60.3725,93.0408,-15.14,98,95,3.51
223,Meulaboh,ID,2022-11-30 04:17:29,4.1363,96.1285,81.16,78,98,4.41
224,Marsh Harbour,BS,2022-11-30 04:17:29,26.5412,-77.0636,77.14,70,55,17.29
225,Charters Towers,AU,2022-11-30 04:17:29,-20.1,146.2667,71.6,87,100,13.94
226,Oranjemund,NA,2022-11-30 04:14:25,-28.55,16.4333,59.56,88,61,4.68
227,Platanos,GR,2022-11-30 04:17:30,37.6667,21.6167,54.09,80,92,8.77
228,Lebedyn,UA,2022-11-30 04:17:30,50.5852,34.4849,28.85,46,100,13.31
229,Vasteras,SE,2022-11-30 04:17:30,59.6162,16.5528,37.31,93,75,6.91
230,Parakan,ID,2022-11-30 04:17:30,-6.4191,106.0081,87.8,53,100,7.18
231,Vao,NC,2022-11-30 04:17:31,-22.6667,167.4833,79.27,80,91,3.0
232,Varkkallai,IN,2022-11-30 04:17:31,8.7341,76.7067,83.98,73,24,3.51
233,Lebu,CL,2022-11-30 04:17:31,-37.6167,-73.65,53.85,82,88,18.79
234,Tignere,CM,2022-11-30 04:17:32,7.3667,12.65,62.58,41,92,1.12
