City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Samana,DO,19.2056,-69.3369,80.82,74,20,9.22,few clouds
323,Lasa,IT,46.6166,10.7002,22.69,64,18,5.48,few clouds
324,Berberati,CF,4.2612,15.7922,71.17,40,3,1.05,clear sky
325,Raymondville,US,26.4815,-97.7831,84.31,60,15,13.42,few clouds
326,Gigmoto,PH,13.7796,124.39,78.48,82,99,6.11,overcast clouds
327,Rawson,AR,-43.3002,-65.1023,63.12,47,92,14.61,overcast clouds
328,Bonfim,BR,3.0833,-59.95,87.75,77,85,6.85,light rain
329,Mount Isa,AU,-20.7333,139.5,83.97,42,1,5.75,clear sky
330,Oriximina,BR,-1.7656,-55.8661,83.95,58,100,3.36,overcast clouds
331,Kharp,RU,66.8014,65.8081,-20.87,100,98,1.86,overcast clouds
332,Komsomolskiy,UZ,40.4272,71.7189,27.32,93,75,0.0,fog
333,Chimbote,PE,-9.0853,-78.5783,70.11,78,57,8.14,broken clouds
334,Yarmouth,US,41.7057,-70.2286,39.34,88,100,20.0,light intensity drizzle
335,Tura,IN,25.5198,90.2201,57.4,77,30,3.06,scattered clouds
336,Kloulklubed,PW,7.0419,134.2556,83.44,73,96,7.16,overcast clouds
337,Saint-Augustin,CA,51.226,-58.6502,7.72,78,12,9.17,few clouds
338,Vershino-Darasunskiy,RU,52.35,115.5167,-1.05,56,100,12.59,overcast clouds
339,Bowen,AU,-20.0167,148.2333,82.04,71,15,8.61,few clouds
340,Champerico,GT,14.3,-91.9167,91.94,64,75,5.37,broken clouds
341,Kidal,ML,18.4411,1.4078,71.49,13,100,10.22,overcast clouds
342,Batagay,RU,67.6333,134.6333,-30.78,97,100,3.65,overcast clouds
343,Le Havre,FR,49.4938,0.1077,34.72,80,100,10.36,mist
344,Puerto Escondido,MX,15.85,-97.0667,82.42,64,0,5.59,clear sky
345,Lorengau,PG,-2.0226,147.2712,81.88,80,99,4.47,overcast clouds
346,Tevaitoa,PF,-16.7833,-151.5,78.66,78,100,14.43,moderate rain
