City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Lhokseumawe,ID,73.26,heavy intensity rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
478,Bahia Blanca,AR,72.28,clear sky,-38.7196,-62.2724,Hotel Argos
482,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
483,Yaan,NG,79.11,overcast clouds,7.3833,8.5667,
484,Guasdualito,VE,87.76,few clouds,7.2424,-70.7324,Hotel Cuibas
485,Roebourne,AU,86.29,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
489,Raga,SS,71.69,clear sky,8.4596,25.678,
492,Lima,PE,71.85,clear sky,-12.0432,-77.0282,Hotel Kamana
495,Mayor Pablo Lagerenza,PY,82.0,overcast clouds,-19.9309,-60.7718,
498,Adrar,MR,75.72,broken clouds,20.5022,-10.0711,
501,Manokwari,ID,78.84,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
502,Puerto Leguizamo,CO,80.28,overcast clouds,-0.1934,-74.7819,la casona de juancho
504,Plettenberg Bay,ZA,68.38,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
505,Comodoro Rivadavia,AR,66.06,few clouds,-45.8667,-67.5,Austral Hotel
506,Airai,TL,61.92,overcast clouds,-8.9266,125.4092,
507,Bonthe,SL,79.79,light rain,7.5264,-12.505,Bonthe Holiday Village
508,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
510,Rio Grande,BR,89.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
511,Safaga,EG,71.64,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
512,Kadur,IN,66.18,overcast clouds,13.5533,76.0131,Annapoorna Castle
513,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
514,Celestun,MX,78.8,light rain,20.8667,-90.4,Posada Lilia
515,Lucapa,AO,65.61,moderate rain,-8.4192,20.7447,Lírio Mendes
516,Lalmohan,BD,67.15,clear sky,22.3384,90.7419,Arifur Rahman Miraj
521,Nikki,BJ,75.7,few clouds,9.9401,3.2108,Monnon
525,Pasni,PK,72.73,scattered clouds,25.2631,63.471,Kashmiri Hotal
526,Algodones,MX,76.14,clear sky,20.3888,-105.4773,
528,Tete,MZ,86.09,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
529,Talcahuano,CL,69.48,clear sky,-36.7167,-73.1167,departamento comodo
531,Uribia,CO,81.59,broken clouds,11.7139,-72.266,Hotel Uribia
533,Tucumcari,US,65.95,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
534,Yamethin,MM,65.1,clear sky,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
536,Kirakira,SB,82.13,overcast clouds,-10.4544,161.9205,SanBiz Lodge
537,Rodrigues Alves,BR,73.6,heavy intensity rain,-7.738,-72.6509,Pousada Aconchego
539,Apache Junction,US,70.84,clear sky,33.4151,-111.5496,"Motel 6 Apache Junction, AZ"
543,Santiago De Cao,PE,71.73,fog,-7.9589,-79.2392,Casa de la tía
544,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
545,Kralendijk,BQ,79.14,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
549,Tamasopo,MX,69.08,clear sky,21.9333,-99.4833,La Pozita Azul
550,Garowe,SO,68.67,clear sky,8.4054,48.4845,Sacaada Hotel
551,Senador Jose Porfirio,BR,80.65,overcast clouds,-2.5908,-51.9542,Hotel Praia
560,Dicabisagan,PH,73.89,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
564,Port Blair,IN,78.42,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
566,Djambala,CG,68.23,moderate rain,-2.5447,14.7533,Hotel Ravin D'or
567,Lotofaga,WS,85.78,overcast clouds,-13.9764,-171.8578,Vai Villas
568,Catuday,PH,77.31,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
571,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
572,Grand Baie,MU,76.44,clear sky,-20.0182,57.5802,Canonnier Beachcomber Golf Resort & Spa
573,Vanimo,PG,78.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
576,Hualmay,PE,69.89,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
578,Corbelia,BR,74.55,moderate rain,-24.7989,-53.3067,Hotel Peroza
580,Alice Springs,AU,69.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
581,Vao,NC,76.98,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
582,Amaigbo,NG,75.45,broken clouds,5.7892,7.8383,IKEMBA GUEST HOUSE
583,Gambela,ET,78.55,broken clouds,8.25,34.5833,Solomon Debebe Hotel
587,Soufriere,LC,80.26,few clouds,13.8562,-61.0566,Anse Chastanet Resort
588,Iguape,BR,74.61,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
590,Si Chiang Mai,TH,63.77,overcast clouds,17.9564,102.5867,Don Chan Palace Hotel & Convention
593,Kaili,ID,67.84,light rain,-3.4626,120.2147,
594,Kalabo,ZM,66.33,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
596,Guerrero Negro,MX,65.57,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
600,Owando,CG,73.89,light rain,-0.4819,15.8999,Exaunel Hotel Owando
601,Fuerte Olimpo,PY,83.73,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
604,Sao Miguel Do Araguaia,BR,77.18,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
605,Alofi,NU,78.22,overcast clouds,-19.0595,-169.9187,Taloa Heights
606,Acapulco,MX,82.99,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
607,Waingapu,ID,78.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
610,Tumbagaan,PH,80.29,overcast clouds,5.3656,120.3139,
